filepath,filename,class_code,class_idx,thai_char,split
ThaiCharacter Dataset/round2/161/bc_002sg_6_34.jpg,bc_002sg_6_34.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_019sg_7_36.jpg,bc_019sg_7_36.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_004tg_6_373.jpg,be_004tg_6_373.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_005sg_2_136.jpg,be_005sg_2_136.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_004tg_6_250.jpg,be_004tg_6_250.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_017tg_2_13.jpg,bc_017tg_2_13.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_005sg_5_335.jpg,be_005sg_5_335.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_015sg_5_307.jpg,bc_015sg_5_307.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_005tg_4_223.jpg,be_005tg_4_223.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_006sg_6_108.jpg,be_006sg_6_108.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_018tg_4_251.jpg,bc_018tg_4_251.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_002tg_10_88.jpg,bc_002tg_10_88.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_017sg_5_14.jpg,bc_017sg_5_14.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003sg_4_56.jpg,be_003sg_4_56.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_004tg_6_79.jpg,be_004tg_6_79.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_006sg_1_153.jpg,be_006sg_1_153.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003tg_4_246.jpg,be_003tg_4_246.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_012sg_4_190.jpg,bc_012sg_4_190.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_004sg_2_115.jpg,be_004sg_2_115.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003tg_8_263.jpg,be_003tg_8_263.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_006sg_3_241.jpg,be_006sg_3_241.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_002sg_5_81.jpg,bc_002sg_5_81.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_005sg_8_107.jpg,bc_005sg_8_107.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_016tg_5_92.jpg,bc_016tg_5_92.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003tg_9_90.jpg,be_003tg_9_90.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003tg_8_38.jpg,be_003tg_8_38.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_005sg_4_292.jpg,bc_005sg_4_292.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_002tg_7_306.jpg,be_002tg_7_306.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_007tg_5_4.jpg,bc_007tg_5_4.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_015sg_3_244.jpg,bc_015sg_3_244.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_002tg_4_214.jpg,bc_002tg_4_214.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_016sg_3_34.jpg,bc_016sg_3_34.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_002sg_9_376.jpg,be_002sg_9_376.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003sg_7_184.jpg,be_003sg_7_184.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_006sg_3_258.jpg,be_006sg_3_258.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_020tg_4_42.jpg,bc_020tg_4_42.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_003tg_2_18.jpg,be_003tg_2_18.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_008tg_6_16.jpg,bc_008tg_6_16.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_007sg_6_211.jpg,bc_007sg_6_211.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/be_006tg_1_42.jpg,be_006tg_1_42.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_020sg_3_96.jpg,bc_020sg_3_96.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_002tg_8_192.jpg,bc_002tg_8_192.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_014tg_5_106.jpg,bc_014tg_5_106.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_007tg_8_11.jpg,bc_007tg_8_11.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_015sg_5_30.jpg,bc_015sg_5_30.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_008tg_8_29.jpg,bc_008tg_8_29.jpg,161,0,ก,train
ThaiCharacter Dataset/round2/161/bc_015tg_5_342.jpg,bc_015tg_5_342.jpg,161,0,ก,train
